date,daily_revenue
4/28/2024,388.04
4/29/2024,258.34
4/30/2024,295.47
5/1/2024,246.3
5/2/2024,322.08
5/3/2024,156.25
5/4/2024,190.88
5/5/2024,279.44
5/6/2024,183.46
5/7/2024,215.65
5/8/2024,285.88
5/9/2024,172.94
5/10/2024,172.18
5/11/2024,95.29
5/12/2024,409.44
5/13/2024,107.79
5/14/2024,157.01
5/15/2024,105.92
5/16/2024,264.66
5/17/2024,173.39
5/18/2024,283.36
5/19/2024,156.59
5/20/2024,274.86
5/21/2024,127.15
5/22/2024,307.03
5/23/2024,228.06
5/24/2024,154.69
5/25/2024,161.16
5/26/2024,222.81
5/27/2024,138.84
5/28/2024,275.16
5/29/2024,208.8
5/30/2024,128.09
5/31/2024,336.61
6/1/2024,174.95
6/2/2024,169.3
6/3/2024,180.67
6/4/2024,237.29
6/5/2024,352.48
6/6/2024,93.57
6/7/2024,431.18
6/8/2024,299.06
6/9/2024,237.99
6/10/2024,456.95
6/11/2024,165.72
6/12/2024,191.55
6/13/2024,186.46
6/14/2024,312.55
6/15/2024,151.53
6/16/2024,246.88
6/17/2024,234.16
6/18/2024,219.8
6/19/2024,217.96
6/20/2024,159.64
6/21/2024,210.33
6/22/2024,118.2
6/23/2024,271.7
6/24/2024,328.04
6/25/2024,337.63
6/26/2024,279.3
6/27/2024,294.11
6/28/2024,172.07
6/29/2024,163.08
6/30/2024,0
7/1/2024,292.44
7/2/2024,261.96
7/3/2024,595.38
7/4/2024,209.12
7/5/2024,389.44
7/6/2024,237.52
7/7/2024,66.03
7/8/2024,69.44
7/9/2024,225.72
7/10/2024,247.96
7/11/2024,137.46
7/12/2024,92.56
7/13/2024,180.87
7/14/2024,224.82
7/15/2024,322.65
7/16/2024,316.24
7/17/2024,372.18
7/18/2024,288.38
7/19/2024,151.94
7/20/2024,172.84
7/21/2024,329.47
7/22/2024,343.26
7/23/2024,199.2
7/24/2024,502.25
7/25/2024,179.54
7/26/2024,627.94
7/27/2024,164.97
7/28/2024,354.71
7/29/2024,97.76
7/30/2024,135.56
7/31/2024,130.1
8/1/2024,15.12
8/2/2024,84.82
8/3/2024,99.81
8/4/2024,202.18
8/5/2024,234.43
8/6/2024,215.46
8/7/2024,234.62
8/8/2024,290.71
8/9/2024,17.12
8/10/2024,333.18
8/11/2024,211.2
8/12/2024,325.1
8/13/2024,411.14
8/14/2024,85.58
8/15/2024,116.76
8/16/2024,111.24
8/17/2024,388.38
8/18/2024,174.54
8/19/2024,173.4
8/20/2024,325.62
8/21/2024,125.09
8/22/2024,177.55
8/23/2024,196.53
8/24/2024,307.65
8/25/2024,554.03
8/26/2024,64.98
8/27/2024,96.43
8/28/2024,284.4
8/29/2024,244.95
8/30/2024,236.55
8/31/2024,341.25
9/1/2024,93.38
9/2/2024,214.07
9/3/2024,248.7
9/4/2024,343.12
9/5/2024,63.32
9/6/2024,145.29
9/7/2024,406.24
9/8/2024,351.82
9/9/2024,109.28
9/10/2024,250.44
9/11/2024,137.3
9/12/2024,205.35
9/13/2024,114.21
9/14/2024,179.15
9/15/2024,87.59
9/16/2024,122.33
9/17/2024,225.73
9/18/2024,191.65
9/19/2024,259.44
9/20/2024,61.92
9/21/2024,298.13
9/22/2024,254.93
9/23/2024,181.45
9/24/2024,171.41
9/25/2024,363.8
9/26/2024,338.33
9/27/2024,91.48
9/28/2024,304.54
9/29/2024,136.6
9/30/2024,229.62
10/1/2024,144.44
10/2/2024,160.65
10/3/2024,326.06
10/4/2024,124.81
10/5/2024,238.83
10/6/2024,246.8
10/7/2024,175.68
10/8/2024,123.98
10/9/2024,81.87
10/10/2024,158.31
10/11/2024,238.44
10/12/2024,189.27
10/13/2024,152.68
10/14/2024,132.25
10/15/2024,159.89
10/16/2024,191.21
10/17/2024,141.48
10/18/2024,118.43
10/19/2024,203.68
10/20/2024,304.62
10/21/2024,168.3
10/22/2024,162.24
10/23/2024,266.04
10/24/2024,132.55
10/25/2024,191.08
10/26/2024,22.3
10/27/2024,38.22
10/28/2024,51.5
10/29/2024,185.51
10/30/2024,219.62
10/31/2024,347.34
11/1/2024,122.87
11/2/2024,336.92
11/3/2024,232.44
11/4/2024,276.85
11/5/2024,51.3
11/6/2024,174.73
11/7/2024,166.92
11/8/2024,232.84
11/9/2024,169.05
11/10/2024,146.61
11/11/2024,270.23
11/12/2024,347.85
11/13/2024,67.41
11/14/2024,144.24
11/15/2024,226.1
11/16/2024,198.78
11/17/2024,116.6
11/18/2024,269.52
11/19/2024,121.6
11/20/2024,106.11
11/21/2024,109.02
11/22/2024,150.3
11/23/2024,120.52
11/24/2024,86.32
11/25/2024,214.16
11/26/2024,161.83
11/27/2024,264.54
11/28/2024,318.03
11/29/2024,94.61
11/30/2024,175.87
12/1/2024,128
12/2/2024,185.97
12/3/2024,106.68
12/4/2024,57.79
12/5/2024,227.91
12/6/2024,115.74
12/7/2024,374.35
12/8/2024,165.64
12/9/2024,108.37
12/10/2024,66.64
12/11/2024,72.72
12/12/2024,298.6
12/13/2024,135.52
12/14/2024,212.44
12/15/2024,239.04
12/16/2024,116.45
12/17/2024,41.58
12/18/2024,252.36
12/19/2024,215.08
12/20/2024,66.39
12/21/2024,241.75
12/22/2024,40.5
12/23/2024,187.41
12/24/2024,367.45
12/25/2024,171.42
12/26/2024,236.11
12/27/2024,419.89
12/28/2024,271.2
12/29/2024,181.82
12/30/2024,122.16
